tag,sinonimos
Python,python
SQL,sql|banco de dados|consulta de dados|big data|dados
Power BI,power bi|powerbi|dashboard|visualização de dados|dados
Auditoria de Receita,auditoria|receita|faturamento
Ressarcimento,ressarcimento|reembolso
AWS,aws|cloud|nuvem|big data
API/Integrações,api|integração|integrações|integracao
SAP,sap
Billing Pós-pago,billing|pós-pago|pos-pago|fatura
VBA/Macros,vba|macro|macros
Azure,azure|5g|rede|redes
Provisionamento,provisionamento|provisionar
Cobrança,cobrança|cobranca|fraude
RPA (UiPath),rpa|automação|automacao|robô|robo|uipath
Excel Avançado,excel
Planos Corporativos B2B,b2b|plano corporativo|planos corporativos
Qlik Sense,qlik
Portabilidade,portabilidade
R,linguagem r|estatística|estatistica
